Day,Hour,Radiation,Temperature,PV_Power_kW,Load_Power_kW,SOC_kWh,action,Gia_mua_dien,Gia_ban_dien
3,12,590.7449182,30.0,2.903975201,0.677,8.0266389,1,3007,671
3,13,542.8862782,29.82962913,3.542981191,0.72,10.567322,1,3007,671
3,14,451.0462206,29.33012702,2.881550943,0.399,12.801618,1,3007,671
3,15,322.6650807,28.53553391,2.346512853,0.262,14.677679,1,3007,671
3,16,168.143535,27.5,1.121134006,0.363,15.36,1,3007,671
3,17,7.31e-14,26.29409523,0.0,1.53,13.56,2,5174,671
3,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
3,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
3,20,0.0,22.5,0.0,1.944,3.84,2,3007,671
3,21,0.0,21.46446609,0.0,1.98,3.84,0,3007,671
3,22,0.0,20.66987298,0.0,0.887,3.84,0,1830,671
3,23,0.0,20.17037087,0.0,0.626,3.84,0,1830,671
4,0,0.0,20.0,0.0,0.546,3.84,0,1830,671
4,1,0.0,20.17037087,0.0,0.615,3.84,0,1830,671
4,2,0.0,20.66987298,0.0,0.529,3.84,0,1830,671
4,3,0.0,21.46446609,0.0,0.638,3.84,0,1830,671
4,4,0.0,22.5,0.0,0.71,3.84,0,3007,671
4,5,0.0,23.70590477,0.0,0.646,3.84,0,3007,671
4,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
4,7,100.9929191,26.29409523,0.927145594,2.176,3.84,0,3007,671
4,8,193.8039924,27.5,1.477109017,0.381,3.84,0,3007,671
4,9,270.914219,28.53553391,3.016135355,0.379,3.84,0,3007,671
4,10,326.0765866,29.33012702,3.068232201,0.23,5.2528357,1,5174,671
4,11,354.8221685,29.82962913,4.045436461,3.156,6.0533285,1,5174,671
4,12,354.8221685,30.0,4.094507731,0.677,9.1290855,1,3007,671
4,13,326.0765866,29.82962913,2.74082084,0.72,10.947824,1,3007,671
4,14,270.914219,29.33012702,2.869537398,0.399,13.171308,1,3007,671
4,15,193.8039924,28.53553391,1.876681042,0.262,14.624521,1,3007,671
4,16,100.9929191,27.5,1.180199052,0.363,15.36,1,3007,671
4,17,4.39e-14,26.29409523,0.0,1.53,13.56,2,5174,671
4,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
4,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
4,20,0.0,22.5,0.0,1.944,4.3870588,0,3007,671
4,21,0.0,21.46446609,0.0,1.98,3.84,2,3007,671
4,22,0.0,20.66987298,0.0,0.887,3.84,0,1830,671
4,23,0.0,20.17037087,0.0,0.626,3.84,0,1830,671
5,0,0.0,20.0,0.0,0.546,3.84,0,1830,671
5,1,0.0,20.17037087,0.0,0.615,3.84,0,1830,671
5,2,0.0,20.66987298,0.0,0.529,3.84,0,1830,671
5,3,0.0,21.46446609,0.0,0.638,3.84,0,1830,671
5,4,0.0,22.5,0.0,0.71,3.84,0,3007,671
5,5,0.0,23.70590477,0.0,0.646,3.84,0,3007,671
5,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
5,7,167.9545066,26.29409523,0.926140375,2.176,3.84,0,3007,671
5,8,322.302338,27.5,1.482567868,0.381,3.84,0,3007,671
5,9,450.5391507,28.53553391,2.143503417,0.379,4.58641,1,3007,671
5,10,542.2759609,29.33012702,3.227298773,0.23,7.2839789,1,5174,671
5,11,590.0807978,29.82962913,3.079297992,3.156,7.1937413,2,5174,671
5,12,590.0807978,30.0,4.068606792,0.677,10.246187,1,3007,671
5,13,542.2759609,29.82962913,2.424951882,0.72,11.780644,1,3007,671
5,14,450.5391507,29.33012702,2.499419168,0.399,13.671021,1,3007,671
5,15,322.302338,28.53553391,1.748285437,0.262,15.008678,1,3007,671
5,16,167.9545066,27.5,0.753357542,0.363,15.36,1,3007,671
5,17,7.3e-14,26.29409523,0.0,1.53,13.56,2,5174,671
5,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
5,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
5,20,0.0,22.5,0.0,1.944,4.3870588,0,3007,671
5,21,0.0,21.46446609,0.0,1.98,4.3870588,0,3007,671
5,22,0.0,20.66987298,0.0,0.887,4.3870588,0,1830,671
5,23,0.0,20.17037087,0.0,0.626,4.3870588,0,1830,671
6,0,0.0,20.0,0.0,0.546,4.3870588,0,1830,671
6,1,0.0,20.17037087,0.0,0.615,4.3870588,0,1830,671
6,2,0.0,20.66987298,0.0,0.529,4.3870588,0,1830,671
6,3,0.0,21.46446609,0.0,0.638,4.3870588,0,1830,671
6,4,0.0,22.5,0.0,0.71,4.3870588,0,3007,671
6,5,0.0,23.70590477,0.0,0.646,4.3870588,0,3007,671
6,6,0.0,25.0,0.0,1.877,3.84,2,3007,671
6,7,126.1546662,26.29409523,1.00225823,2.176,3.84,0,3007,671
6,8,242.0890316,27.5,2.355996082,0.381,3.84,0,3007,671
6,9,338.4107835,28.53553391,2.162175634,0.379,4.6759666,1,3007,671
6,10,407.3165062,29.33012702,2.428560871,0.23,6.6546714,1,5174,671
6,11,443.2238681,29.82962913,3.954810243,3.156,7.3736006,1,5174,671
6,12,443.2238681,30.0,4.019262756,0.677,10.381637,1,3007,671
6,13,407.3165062,29.82962913,2.593874509,0.72,12.068124,1,3007,671
6,14,338.4107835,29.33012702,2.348435715,0.399,13.822616,1,3007,671
6,15,242.0890316,28.53553391,1.44399332,0.262,14.88641,1,3007,671
6,16,126.1546662,27.5,0.889210819,0.363,15.36,1,3007,671
6,17,5.48e-14,26.29409523,0.0,1.53,13.56,2,5174,671
6,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
6,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
6,20,0.0,22.5,0.0,1.944,3.84,2,3007,671
6,21,0.0,21.46446609,0.0,1.98,3.84,0,3007,671
6,22,0.0,20.66987298,0.0,0.887,3.84,0,1830,671
6,23,0.0,20.17037087,0.0,0.626,3.84,0,1830,671
7,0,0.0,20.0,0.0,0.546,3.84,0,1830,671
7,1,0.0,20.17037087,0.0,0.615,3.84,0,1830,671
7,2,0.0,20.66987298,0.0,0.529,3.84,0,1830,671
7,3,0.0,21.46446609,0.0,0.638,3.84,0,1830,671
7,4,0.0,22.5,0.0,0.71,3.84,0,3007,671
7,5,0.0,23.70590477,0.0,0.646,3.84,0,3007,671
7,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
7,7,269.6449475,26.29409523,0.941124596,2.176,3.84,0,3007,671
7,8,517.4448651,27.5,1.715524507,0.381,3.84,0,3007,671
7,9,723.324477,28.53553391,2.082560873,0.379,4.2461941,1,3007,671
7,10,870.6046416,29.33012702,2.766822401,0.23,6.5293343,1,5174,671
7,11,947.3535958,29.82962913,3.042733282,3.156,6.3960793,2,5174,671
7,12,947.3535958,30.0,3.456432366,0.677,8.8975685,1,3007,671
7,13,870.6046416,29.82962913,3.598051318,0.72,11.487815,1,3007,671
7,14,723.324477,29.33012702,2.62540245,0.399,13.491577,1,3007,671
7,15,517.4448651,28.53553391,1.482332362,0.262,14.589876,1,3007,671
7,16,269.6449475,27.5,1.218693352,0.363,15.36,1,3007,671
7,17,1.17e-13,26.29409523,0.0,1.53,13.56,2,5174,671
7,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
7,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
7,20,0.0,22.5,0.0,1.944,4.3870588,0,3007,671
7,21,0.0,21.46446609,0.0,1.98,4.3870588,0,3007,671
7,22,0.0,20.66987298,0.0,0.887,4.3870588,0,1830,671
7,23,0.0,20.17037087,0.0,0.626,4.3870588,0,1830,671
8,0,0.0,20.0,0.0,0.546,4.3870588,0,1830,671
8,1,0.0,20.17037087,0.0,0.615,4.3870588,0,1830,671
8,2,0.0,20.66987298,0.0,0.529,4.3870588,0,1830,671
8,3,0.0,21.46446609,0.0,0.638,4.3870588,0,1830,671
8,4,0.0,22.5,0.0,0.71,4.3870588,0,3007,671
8,5,0.0,23.70590477,0.0,0.646,4.3870588,0,3007,671
8,6,0.0,25.0,0.0,1.877,3.84,2,3007,671
8,7,223.6015735,26.29409523,1.145969104,2.176,3.84,0,3007,671
8,8,429.0882774,27.5,2.032420366,0.381,3.84,0,3007,671
8,9,599.8128009,28.53553391,2.511485555,0.379,3.84,0,3007,671
8,10,721.9440585,29.33012702,3.480678923,0.23,6.3714977,1,5174,671
8,11,785.587702,29.82962913,3.065905364,3.156,6.265504,2,5174,671
8,12,785.587702,30.0,3.21448303,0.677,8.5492387,1,3007,671
8,13,721.9440585,29.82962913,3.870279549,0.72,11.38449,1,3007,671
8,14,599.8128009,29.33012702,2.381584512,0.399,13.168816,1,3007,671
8,15,429.0882774,28.53553391,1.874498679,0.262,14.620065,1,3007,671
8,16,223.6015735,27.5,1.18514981,0.363,15.36,1,3007,671
8,17,9.72e-14,26.29409523,0.0,1.53,13.56,2,5174,671
8,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
8,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
8,20,0.0,22.5,0.0,1.944,3.84,2,3007,671
8,21,0.0,21.46446609,0.0,1.98,3.84,0,3007,671
8,22,0.0,20.66987298,0.0,0.887,3.84,0,1830,671
8,23,0.0,20.17037087,0.0,0.626,3.84,0,1830,671
9,0,0.0,20.0,0.0,0.546,3.84,0,1830,671
9,1,0.0,20.17037087,0.0,0.615,3.84,0,1830,671
9,2,0.0,20.66987298,0.0,0.529,3.84,0,1830,671
9,3,0.0,21.46446609,0.0,0.638,3.84,0,1830,671
9,4,0.0,22.5,0.0,0.71,3.84,0,3007,671
9,5,0.0,23.70590477,0.0,0.646,3.84,0,3007,671
9,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
9,7,194.3561629,26.29409523,1.143907224,2.176,3.84,0,3007,671
9,8,372.9667453,27.5,1.864675679,0.381,3.84,0,3007,671
9,9,521.3617802,28.53553391,2.722191655,0.379,5.6754195,1,3007,671
9,10,627.5191843,29.33012702,3.094346247,0.23,8.2533311,1,5174,671
9,11,682.838716,29.82962913,2.689606071,3.156,7.7046324,2,5174,671
9,12,682.838716,30.0,2.901878934,0.677,9.7070234,1,3007,671
9,13,627.5191843,29.82962913,3.114719384,0.72,11.862271,1,3007,671
9,14,521.3617802,29.33012702,2.273420491,0.399,13.549249,1,3007,671
9,15,372.9667453,28.53553391,1.474848195,0.262,14.640813,1,3007,671
9,16,194.3561629,27.5,1.162097045,0.363,15.36,1,3007,671
9,17,8.45e-14,26.29409523,0.0,1.53,13.56,2,5174,671
9,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
9,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
9,20,0.0,22.5,0.0,1.944,3.84,2,3007,671
9,21,0.0,21.46446609,0.0,1.98,3.84,0,3007,671
9,22,0.0,20.66987298,0.0,0.887,3.84,0,1830,671
9,23,0.0,20.17037087,0.0,0.626,3.84,0,1830,671
10,0,0.0,20.0,0.0,0.546,3.84,0,1830,671
10,1,0.0,20.17037087,0.0,0.615,3.84,0,1830,671
10,2,0.0,20.66987298,0.0,0.529,3.84,0,1830,671
10,3,0.0,21.46446609,0.0,0.638,3.84,0,1830,671
10,4,0.0,22.5,0.0,0.71,3.84,0,3007,671
10,5,0.0,23.70590477,0.0,0.646,3.84,0,3007,671
10,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
10,7,227.9325701,26.29409523,0.780011391,2.176,3.84,0,3007,671
10,8,437.3993989,27.5,2.0194687,0.381,3.84,0,3007,671
10,9,611.4307298,28.53553391,3.300262405,0.379,3.84,0,3007,671
10,10,735.9275792,29.33012702,2.705781749,0.23,3.84,0,5174,671
10,11,800.8039529,29.82962913,3.993897254,3.156,4.4608775,1,5174,671
10,12,800.8039529,30.0,4.194766146,0.677,7.626867,1,3007,671
10,13,735.9275792,29.82962913,3.912249714,0.72,10.499892,1,3007,671
10,14,611.4307298,29.33012702,3.272273727,0.399,13.085838,1,3007,671
10,15,437.3993989,28.53553391,1.923475121,0.262,14.581166,1,3007,671
10,16,227.9325701,27.5,1.228371392,0.363,15.36,1,3007,671
10,17,9.91e-14,26.29409523,0.0,1.53,13.56,2,5174,671
10,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
10,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
10,20,0.0,22.5,0.0,1.944,4.3870588,0,3007,671
10,21,0.0,21.46446609,0.0,1.98,4.3870588,0,3007,671
10,22,0.0,20.66987298,0.0,0.887,4.3870588,0,1830,671
10,23,0.0,20.17037087,0.0,0.626,4.3870588,0,1830,671
11,0,0.0,20.0,0.0,0.546,4.3870588,0,1830,671
11,1,0.0,20.17037087,0.0,0.615,4.3870588,0,1830,671
11,2,0.0,20.66987298,0.0,0.529,4.3870588,0,1830,671
11,3,0.0,21.46446609,0.0,0.638,4.3870588,0,1830,671
11,4,0.0,22.5,0.0,0.71,4.3870588,0,3007,671
11,5,0.0,23.70590477,0.0,0.646,4.3870588,0,3007,671
11,6,0.0,25.0,0.0,1.877,3.84,2,3007,671
11,7,218.0339988,26.29409523,1.203026631,2.176,3.84,0,3007,671
11,8,418.4041797,27.5,1.64488408,0.381,3.84,0,3007,671
11,9,584.8777423,28.53553391,2.838958231,0.379,4.1119972,1,3007,671
11,10,703.9679886,29.33012702,2.756961346,0.23,6.3862624,1,5174,671
11,11,766.0269351,29.82962913,3.173505308,3.156,6.4020172,1,5174,671
11,12,766.0269351,30.0,4.090490636,0.677,9.4741588,1,3007,671
11,13,703.9679886,29.82962913,3.568300879,0.72,12.03763,1,3007,671
11,14,584.8777423,29.33012702,2.122071292,0.399,13.588394,1,3007,671
11,15,418.4041797,28.53553391,1.835213666,0.262,15.004286,1,3007,671
11,16,218.0339988,27.5,0.758237757,0.363,15.36,1,3007,671
11,17,9.48e-14,26.29409523,0.0,1.53,13.56,2,5174,671
11,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
11,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
11,20,0.0,22.5,0.0,1.944,3.84,2,3007,671
11,21,0.0,21.46446609,0.0,1.98,3.84,0,3007,671
11,22,0.0,20.66987298,0.0,0.887,3.84,0,1830,671
11,23,0.0,20.17037087,0.0,0.626,3.84,0,1830,671
12,0,0.0,20.0,0.0,0.546,3.84,0,1830,671
12,1,0.0,20.17037087,0.0,0.615,3.84,0,1830,671
12,2,0.0,20.66987298,0.0,0.529,3.84,0,1830,671
12,3,0.0,21.46446609,0.0,0.638,3.84,0,1830,671
12,4,0.0,22.5,0.0,0.71,3.84,0,3007,671
12,5,0.0,23.70590477,0.0,0.646,3.84,0,3007,671
12,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
12,7,242.7350815,26.29409523,1.02993978,2.176,3.84,0,3007,671
12,8,465.8052103,27.5,1.767102483,0.381,3.84,0,3007,671
12,9,651.1385711,28.53553391,3.042713076,0.379,4.1944666,1,3007,671
12,10,783.7205575,29.33012702,2.803269713,0.23,6.5104094,1,5174,671
12,11,852.8101652,29.82962913,3.595793927,3.156,6.9062239,1,5174,671
12,12,852.8101652,30.0,3.23780303,0.677,9.2109466,1,3007,671
12,13,783.7205575,29.82962913,3.452663503,0.72,11.670344,1,3007,671
12,14,651.1385711,29.33012702,2.314938098,0.399,13.394688,1,3007,671
12,15,465.8052103,28.53553391,1.60959778,0.262,14.607526,1,3007,671
12,16,242.7350815,27.5,1.199082158,0.363,15.36,1,3007,671
12,17,1.06e-13,26.29409523,0.0,1.53,13.56,2,5174,671
12,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
12,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
12,20,0.0,22.5,0.0,1.944,4.3870588,0,3007,671
12,21,0.0,21.46446609,0.0,1.98,4.3870588,0,3007,671
12,22,0.0,20.66987298,0.0,0.887,4.3870588,0,1830,671
12,23,0.0,20.17037087,0.0,0.626,4.3870588,0,1830,671
13,0,0.0,20.0,0.0,0.546,4.3870588,0,1830,671
13,1,0.0,20.17037087,0.0,0.615,4.3870588,0,1830,671
13,2,0.0,20.66987298,0.0,0.529,4.3870588,0,1830,671
13,3,0.0,21.46446609,0.0,0.638,4.3870588,0,1830,671
13,4,0.0,22.5,0.0,0.71,4.3870588,0,3007,671
13,5,0.0,23.70590477,0.0,0.646,4.3870588,0,3007,671
13,6,0.0,25.0,0.0,1.877,3.84,2,3007,671
13,7,275.0371612,26.29409523,0.883849427,2.176,3.84,0,3007,671
13,8,527.7924472,27.5,1.763229034,0.381,3.84,0,3007,671
13,9,737.7891281,28.53553391,3.18443092,0.379,3.84,0,3007,671
13,10,888.0145217,29.33012702,3.916660211,0.23,5.4956559,1,5174,671
13,11,966.2982599,29.82962913,4.168041565,3.156,6.4064933,1,5174,671
13,12,966.2982599,30.0,3.343842975,0.677,8.8066519,1,3007,671
13,13,888.0145217,29.82962913,3.650756424,0.72,11.444333,1,3007,671
13,14,737.7891281,29.33012702,2.628762205,0.399,13.451119,1,3007,671
13,15,527.7924472,28.53553391,1.900714778,0.262,14.925962,1,3007,671
13,16,275.0371612,27.5,0.845264439,0.363,15.36,1,3007,671
13,17,1.2e-13,26.29409523,0.0,1.53,13.56,2,5174,671
13,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
13,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
13,20,0.0,22.5,0.0,1.944,3.84,2,3007,671
13,21,0.0,21.46446609,0.0,1.98,3.84,0,3007,671
13,22,0.0,20.66987298,0.0,0.887,3.84,0,1830,671
13,23,0.0,20.17037087,0.0,0.626,3.84,0,1830,671
14,0,0.0,20.0,0.0,0.546,3.84,0,1830,671
14,1,0.0,20.17037087,0.0,0.615,3.84,0,1830,671
14,2,0.0,20.66987298,0.0,0.529,3.84,0,1830,671
14,3,0.0,21.46446609,0.0,0.638,3.84,0,1830,671
14,4,0.0,22.5,0.0,0.71,3.84,0,3007,671
14,5,0.0,23.70590477,0.0,0.646,3.84,0,3007,671
14,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
14,7,92.61930826,26.29409523,1.126134659,2.176,3.84,0,3007,671
14,8,177.735151,27.5,2.050210111,0.381,3.84,0,3007,671
14,9,248.4519488,28.53553391,2.196818404,0.379,4.1515308,1,3007,671
14,10,299.0406474,29.33012702,3.803675515,0.23,7.3678388,1,5174,671
14,11,325.4028511,29.82962913,3.552277538,3.156,7.7244886,1,5174,671
14,12,325.4028511,30.0,3.105219792,0.677,9.9098864,1,3007,671
14,13,299.0406474,29.82962913,3.082198514,0.72,12.035865,1,3007,671
14,14,248.4519488,29.33012702,2.045152907,0.399,13.517403,1,3007,671
14,15,177.735151,28.53553391,1.548960579,0.262,14.675667,1,3007,671
14,16,92.61930826,27.5,1.12336977,0.363,15.36,1,3007,671
14,17,4.03e-14,26.29409523,0.0,1.53,13.56,2,5174,671
14,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
14,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
14,20,0.0,22.5,0.0,1.944,4.3870588,0,3007,671
14,21,0.0,21.46446609,0.0,1.98,4.3870588,0,3007,671
14,22,0.0,20.66987298,0.0,0.887,4.3870588,0,1830,671
14,23,0.0,20.17037087,0.0,0.626,4.3870588,0,1830,671
15,0,0.0,20.0,0.0,0.546,4.3870588,0,1830,671
15,1,0.0,20.17037087,0.0,0.615,4.3870588,0,1830,671
15,2,0.0,20.66987298,0.0,0.529,4.3870588,0,1830,671
15,3,0.0,21.46446609,0.0,0.638,4.3870588,0,1830,671
15,4,0.0,22.5,0.0,0.71,3.84,2,3007,671
15,5,0.0,23.70590477,0.0,0.646,3.84,0,3007,671
15,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
15,7,158.6062237,26.29409523,1.111642724,2.176,3.84,0,3007,671
15,8,304.3631144,27.5,2.234592125,0.381,3.84,0,3007,671
15,9,425.4623157,28.53553391,2.557326107,0.379,3.84,0,3007,671
15,10,512.0930905,29.33012702,2.886406401,0.23,6.0229949,1,5174,671
15,11,557.2371287,29.82962913,3.17982062,3.156,6.0444335,1,5174,671
15,12,557.2371287,30.0,3.854576067,0.677,8.904252,1,3007,671
15,13,512.0930905,29.82962913,3.709053443,0.72,11.5944,1,3007,671
15,14,425.4623157,29.33012702,2.236747111,0.399,13.248372,1,3007,671
15,15,304.3631144,28.53553391,1.780252454,0.262,14.6148,1,3007,671
15,16,158.6062237,27.5,1.191000365,0.363,15.36,1,3007,671
15,17,6.89e-14,26.29409523,0.0,1.53,13.56,2,5174,671
15,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
15,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
15,20,0.0,22.5,0.0,1.944,4.3870588,0,3007,671
15,21,0.0,21.46446609,0.0,1.98,4.3870588,0,3007,671
15,22,0.0,20.66987298,0.0,0.887,4.3870588,0,1830,671
15,23,0.0,20.17037087,0.0,0.626,4.3870588,0,1830,671
16,0,0.0,20.0,0.0,0.546,4.3870588,0,1830,671
16,1,0.0,20.17037087,0.0,0.615,4.3870588,0,1830,671
16,2,0.0,20.66987298,0.0,0.529,4.3870588,0,1830,671
16,3,0.0,21.46446609,0.0,0.638,4.3870588,0,1830,671
16,4,0.0,22.5,0.0,0.71,4.3870588,0,3007,671
16,5,0.0,23.70590477,0.0,0.646,3.84,2,3007,671
16,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
16,7,91.09217694,26.29409523,0.87533573,2.176,3.84,0,3007,671
16,8,174.8046075,27.5,1.999687021,0.381,3.84,0,3007,671
16,9,244.3554083,28.53553391,2.389638925,0.379,3.84,0,3007,671
16,10,294.1099872,29.33012702,3.545187485,0.23,6.3318419,1,5174,671
16,11,320.037524,29.82962913,3.935380884,3.156,7.0332846,1,5174,671
16,12,320.037524,30.0,2.791720205,0.677,8.9365328,1,3007,671
16,13,294.1099872,29.82962913,3.22408496,0.72,11.190209,1,3007,671
16,14,244.3554083,29.33012702,2.672064001,0.399,13.235967,1,3007,671
16,15,174.8046075,28.53553391,1.778672691,0.262,14.600972,1,3007,671
16,16,91.09217694,27.5,1.20636409,0.363,15.36,1,3007,671
16,17,3.96e-14,26.29409523,0.0,1.53,13.56,2,5174,671
16,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
16,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
16,20,0.0,22.5,0.0,1.944,3.84,2,3007,671
16,21,0.0,21.46446609,0.0,1.98,3.84,0,3007,671
16,22,0.0,20.66987298,0.0,0.887,3.84,0,1830,671
16,23,0.0,20.17037087,0.0,0.626,3.84,0,1830,671
17,0,0.0,20.0,0.0,0.546,3.84,0,1830,671
17,1,0.0,20.17037087,0.0,0.615,3.84,0,1830,671
17,2,0.0,20.66987298,0.0,0.529,3.84,0,1830,671
17,3,0.0,21.46446609,0.0,0.638,3.84,0,1830,671
17,4,0.0,22.5,0.0,0.71,3.84,0,3007,671
17,5,0.0,23.70590477,0.0,0.646,3.84,0,3007,671
17,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
17,7,234.6377227,26.29409523,1.168487333,2.176,3.84,0,3007,671
17,8,450.2664925,27.5,2.094474401,0.381,3.84,0,3007,671
17,9,629.417349,28.53553391,2.962251071,0.379,3.84,0,3007,671
17,10,757.5765551,29.33012702,3.301280207,0.23,5.7572827,1,5174,671
17,11,824.3614142,29.82962913,4.26304175,3.156,6.7536202,1,5174,671
